"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30126","test","chromium","Fri Apr 04 10:51:40 IST 2025","broken","Fri Apr 04 10:52:10 IST 2025","","SmartMeter\CustomerCreation.spec.js","",""
"","910","customer all meters via API","chromium","Thu Apr 17 10:53:23 IST 2025","passed","Thu Apr 17 10:53:24 IST 2025","","API\GetCustomersAPI.spec.js","",""
"","11181","test","chromium","Thu Apr 03 12:17:31 IST 2025","passed","Thu Apr 03 12:17:42 IST 2025","","Ajensia ERP\AgensiaLogin.spec.js","",""
"","38310","Login test for user: admin@carifer.com","chromium","Mon May 05 10:01:00 IST 2025","passed","Mon May 05 10:01:38 IST 2025","","DD Framework\Datadriven.spec.js","",""
"","3086","customer all meters via API","chromium","Thu Apr 17 11:00:57 IST 2025","passed","Thu Apr 17 11:01:00 IST 2025","","API\GetInvoicesMeter.spec.js","",""
"","17521","test","chromium","Thu Apr 10 12:56:08 IST 2025","passed","Thu Apr 10 12:56:25 IST 2025","","Demo\screenshots.spec.js","",""
"","1683428","Login with random credentials","chromium","Fri May 02 14:30:13 IST 2025","passed","Fri May 02 14:58:17 IST 2025","","SmartMeter\Random.spec.js","",""
"","625","customer all meters via API","chromium","Thu Apr 17 11:53:23 IST 2025","passed","Thu Apr 17 11:53:23 IST 2025","","API\Siinpay-SombankTest\PaymentAPI.spec.js","",""
"","3318","customer all meters via API","chromium","Thu Apr 17 11:40:02 IST 2025","passed","Thu Apr 17 11:40:06 IST 2025","","API\GetInvoicesPhone.spec.js","",""
"","503232","test","chromium","Thu Apr 10 12:47:13 IST 2025","failed","Thu Apr 10 12:55:37 IST 2025","","Demo\handlebrowser.spec.js","",""
"","645","login API should return a token","chromium","Fri Apr 18 14:51:22 IST 2025","passed","Fri Apr 18 14:51:23 IST 2025","","API\SmartLoginAPI.spec.js","",""
"","624","customer all meters via API","chromium","Thu Apr 17 11:45:29 IST 2025","passed","Thu Apr 17 11:45:29 IST 2025","","API\Siinpay-SombankTest\Payment.spec.js","",""
"","638","login API should return a token","chromium","Fri Apr 18 14:51:22 IST 2025","passed","Fri Apr 18 14:51:23 IST 2025","","API\Siinpay-SombankTest\SmartLoginAPI.spec.js","",""
"","26699","should login successfully with valid credentials","chromium","Mon May 05 09:59:47 IST 2025","passed","Mon May 05 10:00:13 IST 2025","Login Test Suite","POM\LoginTest.spec.js","",""
"","6483","test","chromium","Tue Apr 08 12:16:48 IST 2025","failed","Tue Apr 08 12:16:55 IST 2025","","POM\code.spec.js","",""
"","30138","test","chromium","Fri Apr 25 14:06:41 IST 2025","broken","Fri Apr 25 14:07:12 IST 2025","","SmartMeter\AddReading.spec.js","",""
"","9320","test","chromium","Mon Apr 28 17:13:28 IST 2025","passed","Mon Apr 28 17:13:37 IST 2025","","BugTracking\SmartLogin.spec.js","",""
"","9032","test","chromium","Wed Apr 09 14:39:13 IST 2025","passed","Wed Apr 09 14:39:22 IST 2025","","Demo\CodeGen.spec.js","",""
"","15449","test","chromium","Thu Apr 03 12:19:10 IST 2025","failed","Thu Apr 03 12:19:26 IST 2025","","SmartMeter\POM.spec.js","",""
"","5512","test","chromium","Thu Apr 03 16:53:11 IST 2025","passed","Thu Apr 03 16:53:16 IST 2025","","SmartMeter\Auto.spec.js","",""
"","30079","test","chromium","Thu Apr 17 11:45:29 IST 2025","broken","Thu Apr 17 11:45:59 IST 2025","","SmartMeter\MakePayment.spec.js","",""
